Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8431209, -0.5722279;"{""coordinates"": [-0.5722279, 44.8431209], ""type"": ""Point""}";2604;12 Rue Esprit des lois - Vers Les Quais;P46.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8403568, -0.5609138;"{""coordinates"": [-0.5609138, 44.8403568], ""type"": ""Point""}";2651;Quai de Queyries place Stalingrad - Vers Place Stalingrad;P71.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8562029, -0.6460319;"{""coordinates"": [-0.6460319, 44.8562029], ""type"": ""Point""}";2715;16 Avenue de Magudas - Vers Avenue de la Forêt;PT.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8511669, -0.5856309;"{""coordinates"": [-0.5856309, 44.8511669], ""type"": ""Point""}";2584;62 Rue David Johnston - Vers Rue Dardenne;P36.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8475199, -0.5706578;"{""coordinates"": [-0.5706578, 44.8475199], ""type"": ""Point""}";2534;10 Quai Louis XVIII - Vers Pont Chaban;P11.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8903269, -0.5091689;"{""coordinates"": [-0.5091689, 44.8903269], ""type"": ""Point""}";2754;41 avenue François Mitterrand - Vers Avenue d'Aquitaine;PM1.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8823138, -0.6881829;"{""coordinates"": [-0.6881829, 44.8823138], ""type"": ""Point""}";2478;Avenue Descartes  - Chemin Lafon - Vers Rue Sainte Christine;PQ1-A.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8684369, -0.636295;"{""coordinates"": [-0.636295, 44.8684369], ""type"": ""Point""}";2756;139 avenue de l Hippodrome - Vers Rue de Bardenne;PN1.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9458499, -0.489559;"{""coordinates"": [-0.489559, 44.9458499], ""type"": ""Point""}";2504;33 avenue du chemin de la vie - Vers Rue de Sauvin;PZ1-A.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8137599, -0.554822;"{""coordinates"": [-0.554822, 44.8137599], ""type"": ""Point""}";2513;399 Boulevard J.J. Bosc - Vers rue Brascassat;P1.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
